Date,Time,Location,Operator,FlightNo,Route,Type,Registration,cnIn,Aboard,Fatalities,Ground,Summary
02/27/1990,19:47,"Denver, USA",Federal Express,,Aspen - Denver,Cessna 208A Caravan I Cargomaster,N820FE,208-00043,1,1,0,"While on an ILS approach, the cargo plane encountered icing conditions. Subsequently it entered a steep descent and crashed short of the runway. The accumulation of structural ice and subsequent stalling of the aircraft. The icing condition was a related factor."
03/08/1990,11:15," Miami, USA",Sinquanon Management - Air Taxi,,,Aerospatiale 350D,N5778W,1394,3,2,0,"The pilot of the helicopter heard a loud noise followed by loss of engine power. He entered an autorotation, deployed emergency floats and successfully landed on the water. However, a wave turned the helicopter over.  All successfully got out of the aircraft but one passenger died from drowning 8 hours later and the other 15 hours later. Fatigue failure of an engine turbine blade, which resulted in a loss of power. Rough ocean water in the emergency landing area was a related factor."
04/06/1990,15:03,"Juiz De Fora, Brazil",Air Taxi - Transamerica,,Rio de Janeiro - Juiz De Flora,Learjet 25C,PT-CMY,25-108,4,2,0,"The jet overan the wet runway fell off a cliff and caught fire. Plane overloaded, pilot did not make the proper calcualtions for landing."
04/26/1990,06:21,"Manila, Philippines",MATS - Manila Aero Transport System,,Manila - Roxaz City,Douglas DC-3 (C-47A-30-DK),RP-C81,25325,24,7,0,"The plane crashed into a rice field after an engine failed during a landing attempt and the plane attempted to take off again, crashing outside of the airport boundary."
04/30/1990,21:35,"Ship Sands Island, Canada",Frontier Air,,"Timmins, Ontario - Ship Sands Island, Ontario",Beechcraft C99,C-FGAW,U197,4,1,0,While on VOR approach the aircraft flew into the ground.
05/10/1990,08:55,"Tuxtla-Gutierrez, Mexico",Avicsa,,Tapachula - Tuxtla-Gutierrez,Fairchild F-27,F-GHXA,101,40,20,0,"Crashed 3  miles short of the runway on approach, striking trees. The accident was attributed to a lack of coordination between the crew during the approach and their lack of experience on the type of aircraft."
05/18/1990,06:25,"Manila, Philippines",Aerolift Philippines,75,Manila - Surigao City,Beechcraft 1900C-1,RP-C314,UC-46,21,21,4,"Crashed shortly after taking off. The aircraft never gained more than 400 feet in altitude and crashed into houses killing four people. Failure of the right engine, after which, the pilot  made an immediate right turn, stalled the aircraft and crashed. Failure to maintain adequate flying speed and altitude due to the pilot's inability to properly perform the specified emergency procedures following a malfunction of the right engine immediately after take off. Failure of the engine."
06/06/1990,19:00,"Thistle Lake, Canada",Ptarmigan Airways,,,de Havilland Canada DHC-6 Twin Otter 300,C-FWAB,349,2,2,0,The cargo plane failed to gain altitude and crashed into a parked helicopter.
06/06/1990,05:29," Altamira, Brazil",TABA,,Belem - Altamira,Fairchild FH-227B,PT-ICA,570,42,23,0,"The pilot,, switched to VFR in IFR conditions, struck trees 1 km short of runway in heavy ground fog. Pilot error."
06/10/1990,07:33,"Oxfordshire, England",British Airways,5390,"Birmingham, England - Malaga, Spain",BAC One-Eleven 528FL,G-BJRT,BAC 234,85,0,0,"While en route, at FL 173, a large section of windshield  fell away from the aircraft. The decompression pulled the captain out from under his seatbelt. Despite trying to hold onto the yoke, the captain was sucked out into the opening. A steward in the cockpit was able to grab hold of his legs. Another steward was able to strap himself into the vacant seat and aid in holding onto the captain's legs. The co-pilot wearing full restraints made an emergency landing at Southampton. The captain remained half way out of the aircraft for 15 minutes and suffered only frostbite and some fractures. Improper bolts used to replace the windshield two days earlier."
06/25/1990,14:30,"Aialak Bay, USA",Air Taxi - Trail Lake Flying Service Inc.,,"Seward, AK - Aialak Bay, AK",Cessna 207A,N9985M,20700775,5,5,0,"Crashed into a 2,700 ft. mountain while on a sightseeing trip.  The pilot-in-command's attempt to fly under visual flight rules while in instrument meteorological conditions. Contributing factors to the accident were the low ceiling and surrounding mountainous terrain."
07/02/1990,12:55,"Ashford, USA",Air Taxi - Aero West Aviation Inc.,,"Aurora, OR - Penticton, Canada",Cessna 207A,N59291,21060195,5,5,0,"Crashed into Mt. Rainier at 12,700 ft. in poor visibility while en route. Continued VFR flight into IMC."
08/29/1990,00:34,"Kaiserslautern, Germany",Military - U.S. Air Force,,Ramstein AB - Rhein-Main AB,Lockheed C-5A,68-0228,31,17,13,0,"Just after taking off, the aircraft drifted to the left and clipped trees eventually crashing 3,000 ft. past the end of the runway. Possible inadvertent deployment of a thrust reverser."
09/03/1990,15:20,"Kaltag, USA",Frontier Flying Service,,"Nulato, AK - Kaltag, AK",Piper PA-31-325 Navajo,N59783,317612024,10,3,0,Crashed after loosing the No. 2 engine.Failure of the pilot to maintain adequate altitude after becoming distracted with an engine problem. Loss of power in the No. 2 engine for unknown reasons.
09/11/1990,15:30,"Newfoundland, Canada",Faucett,,Malta - Miami - Reykjavík - Gander,Boeing B-727-247,OB-1303,20266/760,18,18,0,The aircraft ran out of fuel and crashed into the sea. The last message that was heard from the crew was they were low on fuel and preparing to ditch.
09/24/1990,07:02,"San Luis Obispo, USA",HiTech Helicopters,,"Van Nuys, CA - San Luis Obispo, CA",Cessna 501 Citation,N79DD,500-0254,4,4,0,Crashed short of the runway into a Eucalyptus tree while making an approach to Runway 11in heavy fog.  The pilot's improper IFR procedure. His failure to maintain the minimum descent altitude for the adverse weather was a related factor.
10/02/1990,09:15,"Guangzhou, China",China Southwest Airlines / Xiamen Airlines,8301/,Guangzhou - Shanghi,Boeing B-737-247,B-2812,24758 / 23189,226,128,0,"Shortly after taking off a hijacker entered the cockpit and demanded to be flown to Hong Kong. The captain circled for 30 minutes and after a struggle in the cockpit, attempted to land at Guangzhou, hitting the runway hard, clipping a B-707 and crashing into a B-757. Eighty-two aboard the B-737 and 46 aboard the B-757 were killed."
10/03/1990,20:08,"Cape Canaveral, USA",Eastern Air Lines,791,,McDonnell Douglas DC-9-31,N8923E,45838/104,97,1,0,The aircraft experienced severe turbulence after entering overhang of a thunderstorm at FL 310. Three passengers received serious injuries. One passenger died 20 days after the accident. Failure of the captain to follow procedures by allowing the aircraft to continue into the overhang anvil of a thunderstorm. Failure of the passengers to abide by instructions concerning the use of seat belts. Failure of the flight attendants to enforce the use of seat belts.
02/17/1991,00:20,"Cleveland, USA",Ryan International Airlines,590,Cleveland - Indianapolis,McDonnell Douglas DC-9-15RC,N565PC,47240/346,2,2,0,"The cargo plane stalled during takeoff cart wheeled and crashed. The failure of the flight crew to detect and remove ice contamination on the airplane's wings, which was largely a result of a lack of appropriate response by the Federal Aviation Administration, Douglas Aircraft Company, and Ryan International Airlines to the known effect that a minute amount of contamination has on the stall characteristics of the DC-9 series 10 airplane. The ice contamination led to wing stall and loss of control during the attempted takeoff."
12/03/1990,13:45,"Romulus, USA",Northwest Airlines/ Northwest Airlines,299/1482,Detroit - Pittsburg,Boeing B-727-251,N278US,21157 / 45708/77,198,8,0,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.
12/21/1990,12:20,"False Pass, USA",MarkAir Commuter,,Cold Bay - False Pass,Cessna 208 Caravan I Cargomaster,N9444F,208-00104,1,1,0,The cargo plane crashed into mountains while approaching False Pass. The pilot's improper decision to continue flight into an area of mountainous terrain and adverse weather conditions. the terrain and weather were factors.
01/10/1991,18:00,"Paramo Mucuti, Venezuela",Military - Venezuelan Navy,,Caracas - Merida,CASA 212 Aviocar 200,ARV-0209,264,22,21,0,"Crashed into Paramo Mucuti Mountain, 35 miles from it's destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident."
01/30/1991,13:00,"Jalaludin, Indonesia",Merpati Nusantara Airlines,,,CASA 212 Aviocar 200,PK-NCY,258/78N,21,1,0,The plane made a forced landing during poor weather conditions and crashed into trees on a ridge. All passengers survived but one elderly passenger died while waiting for rescue.
02/01/1991,18:07,"Los Angeles, USA",USAir / Skywest Airlilnes,1493/5569,Columbus - Los Angeles \  Los Angeles - Fresno,Boeing B-737-300 / Swearingen SA-227AC,N388US,23310/1145 / AC-683,99,34,0,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting 'ready for takeoff', caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, landed on top of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffifacility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the  controller to maintain awareness of the traffisituation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner."
02/07/1991,08:00,"Munford, USA",Macon Horizons - Air Taxi,,"Macon, GA - Anniston, AL",Piper PA-31-350,N27818,31-7952001,4,4,0,"Impacted the side of a mountain at 2,300 ft., 10 miles from the destination airport. The pilot attempting visual flight in instrument meteorological conditions below the minimum safe altitude for terrain clearance. Contributing factors were the low ceiling and mountainous terrain."
02/13/1991,17:41,"Aspen, USA",Air Taxi - Richmor Aviation,,"Las Vegas, NV - Aspen, CO",Learjet35A,N535PC,291,3,3,0,During an unstabilized approach in snow covered terrain and after not lining up correctly the pilot tried to correct the plane back to the centerline and inadvertently stalled the plane which crashed right wing first into the ground. Airspeed not maintained. Inadvertent stall.
03/03/1991,09:44,"Colorado Springs, USA",United Air Lines,585,Denver - Colorado Springs,Boeing B-737-291,N999UA,22742/875,25,25,0,"While on final approach to Colorado Springs, the aircraft suddenly rolled to the right and pitched nose down until it reached an almost vertical attitude before hitting the ground. Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. The rudder malfunction forced the rudder to go in the opposite direction the pilots commanded it to go. First female pilot to die on the flight deck of a major U.S. airline."
03/05/1991,16:15,"La Puerta, Venezuela",Linea Aeropostal Venezolana,108,Maracaibo - Santa Barbara de Zulia,McDonnell Douglas DC-9-32,YV-23C,47720/846,45,45,0,The aircraft crashed into the Las Torres plateau in the Andes mountains on a flight from Maracaibo to Santa Barbara de Zulia. The mountain was shrouded in clouds. Controlled flight into terrain. The point of impact was considerably off course.
03/11/1991,08:40,"Hassfurt, Germany",Luft-Taxi Emsland,,,Cessna 402B,D-ICLW,402B-0859,7,6,0,Crashed while attempting a VOR/DME approach in fog. Pilot attempted to use a VOR 33km from the airport.
04/04/1991,13:40,"Lake Thutade, Canada",Central Mountain Air Services,,Sturdee - Smithers,Douglas C-47B-15-DK,C-FQNF,26643,7,6,0,"The plane crash landed on a frozen lake after the crew flighing VFR, entered a snow storm."
04/04/1991,12:10,"Marion, USA",Private,,"Williamsport, PA  - Philadelphia, PA",Piper Aerostar 601 / Bell 412SP,N3645D ,6108448162153/0151,5,5,2,"When the plane's nose gear indicator light did not illuminate a helicopter was dispatched to verify the nose gear was down. While making the inspection, the helicopter's blades accidentally hit the bottom of the plane sending both aircraft into the ground, killing all aboard both aircraft. Pennsylvania Senator H. John Heinz III was killed in the crash along with two children playing outside an elementary school. Two killed aboard the Bell and 3 aboard the Piper. The poor judgment by the captain of the airplane to permit the in-flight inspection after he had determined to the best of his ability that the nose landing gear was fully extended. The poor judgment of the captain of the helicopter to conduct the inspection and the failure of the flight crew of the helicopter to maintain safe separation."
05/13/1991,13:19,"Grand Canyon, USA",Air Taxi - Air Grand Canyon Inc.,,Local sightseeing,Cessna 207A,N6280H,20700463,7,7,0,"The airplane crashed into a wooded area about 8 minutes after takeoff. Detonation (or pre-ignition) in the number 1 cylinder, which resulted in erosion (burning) of the number 1 piston and subsequent loss of engine power. A factor related to the accident was: the lack of suitable terrain for an emergency landing."
06/20/1991,03:45,"Malambo, Colombia",Aerosucre Colombia,,Bogota - Malambo,Douglas DC-6BF,HK-3511,45132/801,18,2,0,Following several attempts to land the pilot decided to hold until weather conditions improved.  Contact was lost with the plane and it flew into the ground. Visibility was reduced by low lying fog.
07/04/1991,09:10,"El Yopal, Colombia",Helicol Colombia,,,de Havilland Canada DHC-6 Twin Otter 300,HK-2889X,606,3,3,0,While attempting to land the pilot continued VFR flight in IFR conditions and collided with a hill.
08/16/1991,01:55,"Imphal, India",Indian Airlines,257,Calcutta - Imphal,Boeing B-737-2A8,VT-EFL,21497,69,69,0,Crashed into high ground during approach to Imphal. The crew failed to follow the correct approach course.
08/20/1991,13:15,"Ketchikan, USA",Temsco Airlines,,"Ketchikan, AK - Wrangell, AK",Britten-Norman BN-2A-6 Islander,N68HA,2009,4,4,0,"Crashed while en route, flying VFR in deteriorating weather. The pilot attempting to operate VFR in IFR conditions."
08/28/1991,23:59,"Walton, USA",Air Taxi - Bohemia Inc.,,,Aerospatiale 350B1,N64SF,,3,3,0,"While maneuvering in remote mountainous terrain, on a dark night, with light drizzle and patchy clouds, the helicopter collided with a mountain. The wreckage scattered on a heading opposite the flights destination. The helicopter was destroyed by a post crash fire and there were no noted mechanical failures or malfunctions. The pilot's failure to maintain clearance from terrain."
09/11/1991,10:03,"Eagle Lake, USA",Continental Express,2574,Laredo - Houston,Embraer 120RT Brasilia,N33701,120-077,14,14,0,In-flight loss of the left horizontal stabilizer. Forty-seven screw fasteners that would have attached the upper surface of the leading edge assembly for the left side of the horizontal stabilizer were missing. Lack of compliance with FAA approved maintenance procedures.
10/05/1991,15:00,"Condet, Indonesia",Military - Indonesian Air Force,,,Lockheed C-130H-30,A-1324,4927,135,134,1,The aircraft crashed into buildings during an attempted emergency landing after an engine caught fire shortly after taking off.
11/11/1991,18:50,"Recife, Brazil",Nordeste Linhas Aereas,,,Embraer 110P1 Bandeirante,PT-SCU,110-314,15,15,2,Crashed on takeoff hitting power lines and roof tops before coming to rest in a market square. Uncontained failure of the right engine.
11/20/1991,18:14,"Davis, USA",Air Taxi - Airis Helicopters Inc.,,"San Francisco, CA - Sacramento, CA",Bell 206B,N5011K,2580,3,3,0,The helicopter impacted the ground 8 nm from it's destination airport in fog and low visibility. The decision of the pilot to continue night low level flight in forecasted adverse weather conditions. Contributing to the accident was the foggy weather and dark night conditions which restricted the pilot's visual outlook.
12/10/1991,16:42," Las Vegas, USA",Las Vegas Airlines,,"Grand Canyon, AZ - Las Vegas, NV",Piper PA-31-350 Navajo,N350MR,31-7652100,5,5,0,The aircraft encountered low ceiling and rain showers and was not certified for IFR flight. Instead of going to a alternate airport the pilot continued VFR flight and impacted the side of a mountain. The pilot-in-command's poor inflight decision by not electing to proceed to an alternate airport and to continue to the flight under visual flight rules into instrument meteorological conditions. The low ceilings and visibilities across the flight route and the mountainous terrain were factors in the accident.
12/11/1991,09:41,"Rome, Italy",Bruno Air,,"Rome, GA - Huntsville, AL",BeechJet 400,N25BR,RJ-57,9,9,0,"Crashed into Mt. Lavendar at 1,580 ft. msl. The captain's decision to initiate visual flight rules into an area of known mountainous terrain and low ceiling and the failure of the flightcrew to maintain awareness of their proximity to the terrain."
12/22/1991,11:37,"Heidelberg, Germany",ClassiWings,,Frankfurt - Frankfurt,Douglas DC-3A,D-CCCC,7353,30,27,0,"The sightseeing tour struck a hill at 2,000 ft. while making a left turn in turbulence. Poor crew coordination. Overloaded."
12/29/1991,15:05,"Wanli, China",China Airlines (Taiwan),358,Taipei - Anchorage,Boeing B-747-2R7F,B-198,22390,5,5,0,The cargo plane crashed on takeoff  after losing the No. 3 and 4 engines due to corroded midspar fuse pins. The No. 3 engine broke loose first striking the No. 4 engine.
01/20/1992,19:20,"Strasbourg, France",Air Inter,148,Lyon - Strasbourg,Airbus A320-111,F-GGED,15,96,87,0,"The aircraft hit a mountain while on approach to Strasbourg. Design deficiencies with the mode selector switch. An incorrectly set flight control system resulted in an excessive rate of descent that went undetected.  The crew inadvertently selected 3,300 fpm descent rate on approach instead of 3.3 degree flight path angle."
01/27/1992,18:44,"Nanaimo, Canada",Air Rainbow,,Nanaimo - Port Mellon,Beech C18S,C-FRVR,43-35632,9,7,0,Shortly after taking off the float-plane rolled rapidly from side to side lost altitude and crashed into the water cart wheeled and broke up. Turbulence and downdrafts leading to loss of control of the aircraft. Possibly overloaded. Lack of experience in flying a heavily loaded Beech 18 aircraft.
02/03/1992,11:20,"Caetite, Brazil",Nordeste Linhas Aéreas,,Salvador - Guanambi,Embraer 110C Bandeirante,PT-TBB,110-005,12,12,0,The aircraft descended below MDA in poor weather and struck Taquari Hill which was obscured by clouds.
03/22/1992,21:35,"La Guardia Airport, USA",USAir,405,New York City - Cleveland,Fokker F-28 Fellowship 4000,N485US,11235,51,27,0,"The plane was de-iced two times while at the gate. Thirty-five minutes elapsed between the last de-icing and takeoff during which ice accumulated on the wings. After liftoff, the plane stalled, crashed and came to rest inverted and partially submerged in Flushing Bay. Failure of the airline industry and FAA to provide flight crews with procedures compatible with departure delays in conditions conducive to airframe icing and the decision by the flight crew to take off without positive assurance that the airplane's wings were free of ice accumulation after 35 minutes of exposure to precipitation following de-icing. The ice contamination on the wings resulted in an aerodynamistall and loss of control after liftoff."
03/22/1992,4:26," Yakutia, Russia",Aeroflot,,Chekurdakh - Tiksi,Antonov AN-30,RA-30002,1403,10,10,0,"Autopilot engagement and disengagement resulted in oscillations of the aircraft which led to a loss of control and break-up in mid air. Pilot-induced lateral oscillations led to a stall, dive and break-up."
04/04/1992,18:05," Baykovo, Russia",Kamchatavia,,Etropavlovsk - Kamchatskiy,Let 410UVP,CCCP-67130,800326,12,1,0,The aircraft crashed into high ground 5 km short of the runway in poor weather during a VFR approach.
04/10/1992,0:44,"Orchid Island, China",Taiwan Airlines,,,Britten Norman BN-2A-26 Trislander,B-11116,2007,10,7,0,"Crashed into the sea after losing the No. 1 engine after reaching 1,500 feet after takeoff."
04/17/1992,00:56,"Hamburg, USA",Air Taxi - Basco Flying Service Inc.,,"Philadelphia, PA - Reading, PA",Piper PA-23-250,N62774,,4,4,0,"The aircraft collided with rising terrain at 1,100 ft. after executing a go-around. Failure of the pilot to follow proper IFR procedures."
04/22/1992,11:09,"Perris Valley, USA",Perris Valley Aviation,,Local,de Havilland Canada DHC-6 Twin Otter 200,N141PV,141,22,16,0,"The plane, carrying parachutists, lost power and crashed 200 ft. past the runway. The pilot's inadvertent feathering of the wrong propeller following an engine power loss and the failure of the operator to assure that the pilot was provided with adequate training in the airplane. Water contamination of fuel in the airport storage tanks. Lack of fuel quality control procedures.  Improper fuel servicing and exceeding the gross weight forward center of gravity limits of the airplane."
04/22/1992,15:53,"Mt. Haleakala, USA",SceniAir Tours,22,Local sightseeing,Beechcraft E18S,N342E,BA-308,9,9,0,During a sight seeing tour the aircraft hit a mountain on the island of Maui. The captain's decision to continue VFR into IFR conditions that obscured mountainous terrain and failure to properly use available navigational aids  to remain clear of terrain.
06/08/1992,08:52,"Anniston, USA",GP Express Airlines,861,"Atlanta - Anniston, AR",Beechcraft C99,N118GP,U-185,6,3,0,The aircraft crashed during an attempted landing at Anniston Municipal Airport after intercepting the back course localizer signal for an ILS approach. Failure of the flight crew to use approved instrument flight procedures which resulted in a loss of situational awareness and terrain clearance. Failure of  management of GP Express to provide adequate training and operational support for the startup of the southern operation. Failure to provide approach charts for each pilot and to establish stabilized approach criteria.  Inadequate crew coordination and a role reversal on the part of the captain and first officer.
06/12/1992,12:10,"Sheboygan Falls, USA",Jet Charter Group,,Sheboygan - Manitowoc,Learjet 25B,N38DJ,25-191,2,2,0,"Lifted off prematurely, rolled to the right and flipped over and crashed. The copilot's premature liftoff and the captain's inadequate remedial action resulting in loss of aircraft control at low altitude."
06/19/1992,18:53,"Canbera, Australia",Air taxi,,Bankstown - Cooma,Beech Baron 95-B55,VH-JDL,TC-1382,6,6,0,"While cruising at 8,000 feet, the aircraft entered a rapid descent, during which it reversed direction in a left turn. The descent was briefly arrested at a low altitude; however, the aircraft again turned left and descended rapidly. There are indications that the center of gravity moved further aft during the flight, until reaching a point at which the pilot was unable to prevent significant diversions in both climb and descent from the reference altitude, culminating in the rapid descent."
06/19/1992,14:05,"Meadview, USA",Adventure Airlines,,"Meadview, AZ - Las Vegas, NV",Cessna 402C,N2715X,402-0215,10,10,0,Crashed after engine failure on takeoff. Pilot error. Failure of the pilot to follow emergency procedures after an engine failure during takeoff.
06/22/1992,06:05,"Cruzeiro do Sul, Brazil",VASP,,Rio Bran- Cruzeiro do Sul,Boeing 737-2A1C,PP-SND,21188/444,3,3,0,The cargo plane crashed while on approach after the crew was distracted by a intermittent compartment warning.
06/22/1992,12:45,"Norlisk, Russia",Krasnoyarskavia,,Igarka - Omsk,Antonov AN-12,CCCP-11896,AN12145,12,10,0,"A missed approach was followed by the left wing and landing gear hitting the runway which led to a stall and crash, right of the runway."
07/13/1992,12:30,"Bethel, USA",ArctiCircle Air Service,,Bethel - Chevak,Shorts SC-7 Skyvan 3A-200,N20086,SH-1918,1,1,0,"Cargo shifted as the cargo plane took off causing a high nose attitude which led to loss of contol. Inadequate security of the cargo which shifted rearward during the takeoff roll. Factors which contributed to the accident were: the over gross weight condition, and the improper alteration of the tie down rings by the overhauling maintenance facility."
07/24/1992,16:30,"Mt. Lalaboy,  Indonesia",Mandala Airlines,,Jakarta - Surabaya - Ujung Pandang - Ambon,Vickers Viscount 816,PK-RVU,434,70,70,0,"Crashed into Mt. Lataboy at 2,800 ft. during an approach to Ambon in a severe rainstorm."
07/27/1992,16:15,"Mexico City, Mexico",Aero Eslava,,Puebla - Mexico City,Vickers 798D Viscount,XA-SCM,392,4,4,0,Flew into a mountain in poor weather on a positioning flight.
09/28/1992,14:30," Kathmandu, Nepal",Pakistan International Airlines,268,Karachi - Kathmandu,Airbus A300B4-203,AP-BCP,25,167,167,0,"The plane hit cloud covered high ground while attempting to land, 9 nm short of the runway at Bhattedanda hill. The pilot began the descent too early and had miscalculated the aircraft's altitude. Failure of the crew to follow prescribed procedures."
07/30/1992,17:41,"JFK Airport, USA",Trans World Airlines,843,New York City - San Francisco,Lockheed L-1011,N11002,1014,292,0,0,"Immediately after liftoff, the stick shaker activated. The takeoff was aborted but the aircraft ran off the runway and caught fire. A defective stall warning system. A design flaw that allowed the defective stall warning system to go undetected. Failure of TWA's maintenance program to correct a repetitive malfunction of the stall warning system, and inadequate crew coordination between the captain and first officer that resulted in their inappropriate response to a false stall warning."
07/31/1992,12:45,"Kathmandu, Nepal",Thai Airways,311,Bangkok - Kathmandu,Airbus A310-304,HS-TID,438,113,113,0,"After experiencing difficulty in deploying the flaps while approaching Katmandu, the landing was aborted.  The ATC did not have radar service. After some confusing exchanges between the tower and the aircraft, the crew headed north instead of south to begin its second approach. The aircraft flew into a  vertical mountain wall at 240 knots. In the final seconds, the captain assessed the Ground Proximity Warning System warning as false. The accident was caused by a combination of occurrences, errors and actions by both the crew and ATC. The initial problem with the flaps, the lack of radar service, a misread chart by the crew, communication difficulties and the use of non-standard phraseology among other items led to the accident."
07/31/1992,15:12,"Nanjing, China",China General Aviation Corporation,7552,Nanjing - Xiamen,Yakovlev YAK-42D,B-2755,2116644,126,108,0,"The aircraft failed to gain altitude after lift-off, touched down again and overran the runway bursting into flames 2,000 feet past the runway. Possible engine failure."
08/27/1992,22:44,"Ivanovo, Russia",Aeroflot,2808,Donetsk - Ivanovo,Tupolev TU-134A,CCCP-65058,49868,84,84,0,The aircraft crashed 1.5 miles from the airport during approach. Poor landing coordination by the flight crew.
